x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,z1,z2,z3,P,Q,R,Profit
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,52717
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,52717
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40200
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,40200
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,52717
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,52717
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,40200
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,40200
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,52717
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,52717
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,40200
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,40200
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,52717
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,52717
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40200
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,40200
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,52717
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,52717
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34640
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,47157
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,34640
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,47157
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,40200
