x1,x2,x3,x4,x5,profit
0,0,0,0,0,-5770
0,0,0,0,1,-6238
0,0,1,0,0,7344
0,0,1,0,1,7344
0,0,1,1,0,5584
0,0,1,1,1,5584
0,0,2,0,0,-6300
0,0,2,0,1,-8191
0,1,0,0,0,-937
0,1,0,0,1,-1397
0,1,1,0,0,6373
0,1,1,0,1,6373
0,1,1,1,0,5508
0,1,1,1,1,5508
0,1,2,0,0,4629
0,1,2,0,1,5852
0,2,0,0,0,-4819
0,2,0,0,1,-5680
0,2,1,0,0,7184
0,2,1,0,1,4493
0,2,1,1,0,1258
0,2,1,1,1,-70
0,2,2,0,0,-14954
0,2,2,0,1,-18715
1,0,0,0,0,-21558
1,0,0,0,1,-23350
1,0,1,0,0,-8970
1,0,1,0,1,-8970
1,0,1,1,0,-10820
1,0,1,1,1,-10820
1,0,2,0,0,-25374
1,0,2,0,1,-25384
1,1,0,0,0,-8222
1,1,0,0,1,-8770
1,1,1,0,0,-5732
1,1,1,0,1,-5732
1,1,1,1,0,-6052
1,1,1,1,1,-6052
1,1,2,0,0,-9912
1,1,2,0,1,-5120
1,2,0,0,0,-21495
1,2,0,0,1,-24333
1,2,1,0,0,-10752
1,2,1,0,1,-11622
1,2,1,1,0,-11322
1,2,1,1,1,-12242
1,2,2,0,0,-25482
1,2,2,0,1,-29228
2,0,0,0,0,-22350
2,0,0,0,1,-25054
2,0,1,0,0,-7850
2,0,1,0,1,-7850
2,0,1,1,0,-10480
2,0,1,1,1,-10480
2,0,2,0,0,-22430
2,0,2,0,1,-24721
2,1,0,0,0,-8615
2,1,0,0,1,-9387
2,1,1,0,0,-4683
2,1,1,0,1,-4683
2,1,1,1,0,-5143
2,1,1,1,1,-5143
2,1,2,0,0,-8695
2,1,2,0,1,-9010
2,2,0,0,0,-22226
2,2,0,0,1,-25858
2,2,1,0,0,-9649
2,2,1,0,1,-10567
2,2,1,1,0,-14450
2,2,1,1,1,-15410
2,2,2,0,0,-23805
2,2,2,0,1,-28543
