x1,x2,x3,x4,x5,profit
0,0,0,0,0,-18140
0,0,0,0,1,-18030
0,0,1,0,0,1360
0,0,1,0,1,1360
0,0,1,1,0,-1080
0,0,1,1,1,-1080
0,0,2,0,0,-22860
0,0,2,0,1,-17155
0,1,0,0,0,-10506
0,1,0,0,1,-10233
0,1,1,0,0,3288
0,1,1,0,1,3288
0,1,1,1,0,1928
0,1,1,1,1,1928
0,1,2,0,0,-11136
0,1,2,0,1,-9781
0,2,0,0,0,-18611
0,2,0,0,1,-18976
0,2,1,0,0,230
0,2,1,0,1,-2186
0,2,1,1,0,-5853
0,2,1,1,1,-6969
0,2,2,0,0,-25092
0,2,2,0,1,-27769
1,0,0,0,0,-22066
1,0,0,0,1,-23141
1,0,1,0,0,-6552
1,0,1,0,1,-6552
1,0,1,1,0,-8497
1,0,1,1,1,-8497
1,0,2,0,0,-23560
1,0,2,0,1,-22307
1,1,0,0,0,-6066
1,1,0,0,1,-6529
1,1,1,0,0,488
1,1,1,0,1,488
1,1,1,1,0,-67
1,1,1,1,1,-67
1,1,2,0,0,-14808
1,1,2,0,1,-9638
1,2,0,0,0,-23324
1,2,0,0,1,-25359
1,2,1,0,0,-9274
1,2,1,0,1,-10058
1,2,1,1,0,-10203
1,2,1,1,1,-10942
1,2,2,0,0,-26530
1,2,2,0,1,-29903
2,0,0,0,0,-31305
2,0,0,0,1,-33380
2,0,1,0,0,-14410
2,0,1,0,1,-15570
2,0,1,1,0,-19564
2,0,1,1,1,-20060
2,0,2,0,0,-33688
2,0,2,0,1,-40206
2,1,0,0,0,-30478
2,1,0,0,1,-32426
2,1,1,0,0,-20298
2,1,1,0,1,-20610
2,1,1,1,0,-21484
2,1,1,1,1,-21869
2,1,2,0,0,-33992
2,1,2,0,1,-39407
2,2,0,0,0,-40920
2,2,0,0,1,-43475
2,2,1,0,0,-32452
2,2,1,0,1,-33132
2,2,1,1,0,-38175
2,2,1,1,1,-38845
2,2,2,0,0,-41338
2,2,2,0,1,-46519
