x1,x2,x3,x4,x5,profit
0,0,0,0,0,14069
0,0,0,0,1,10991
0,0,1,0,0,19187
0,0,1,0,1,19187
0,0,1,1,0,13467
0,0,1,1,1,13467
0,0,2,0,0,8944
0,0,2,0,1,9384
0,1,0,0,0,13351
0,1,0,0,1,11123
0,1,1,0,0,16309
0,1,1,0,1,16309
0,1,1,1,0,12349
0,1,1,1,1,12349
0,1,2,0,0,11715
0,1,2,0,1,12750
0,2,0,0,0,14574
0,2,0,0,1,11768
0,2,1,0,0,19164
0,2,1,0,1,19164
0,2,1,1,0,13844
0,2,1,1,1,13844
0,2,2,0,0,14088
0,2,2,0,1,11282
1,0,0,0,0,16194
1,0,0,0,1,14358
1,0,1,0,0,18228
1,0,1,0,1,18228
1,0,1,1,0,14988
1,0,1,1,1,14988
1,0,2,0,0,15708
1,0,2,0,1,13872
1,1,0,0,0,17502
1,1,0,0,1,16652
1,1,1,0,0,16962
1,1,1,0,1,16962
1,1,1,1,0,15482
1,1,1,1,1,15482
1,1,2,0,0,9473
1,1,2,0,1,10162
1,2,0,0,0,11124
1,2,0,0,1,8102
1,2,1,0,0,15468
1,2,1,0,1,15468
1,2,1,1,0,10428
1,2,1,1,1,10428
1,2,2,0,0,11024
1,2,2,0,1,8933
2,0,0,0,0,11544
2,0,0,0,1,7895
2,0,1,0,0,17652
2,0,1,0,1,17652
2,0,1,1,0,11012
2,0,1,1,1,11012
2,0,2,0,0,11378
2,0,2,0,1,8640
2,1,0,0,0,12593
2,1,0,0,1,10238
2,1,1,0,0,15812
2,1,1,0,1,15812
2,1,1,1,0,11692
2,1,1,1,1,11692
2,1,2,0,0,12493
2,1,2,0,1,10921
2,2,0,0,0,13167
2,2,0,0,1,10089
2,2,1,0,0,18285
2,2,1,0,1,18285
2,2,1,1,0,12525
2,2,1,1,1,12525
2,2,2,0,0,13067
2,2,2,0,1,10322
