x1,x2,x3,x4,x5,profit
0,0,0,0,0,-1397
0,0,0,0,1,-328
0,0,1,0,0,12631
0,0,1,0,1,12631
0,0,1,1,0,11276
0,0,1,1,1,11276
0,0,2,0,0,-2069
0,0,2,0,1,-2897
0,1,0,0,0,-1359
0,1,0,0,1,-792
0,1,1,0,0,9013
0,1,1,0,1,9013
0,1,1,1,0,8038
0,1,1,1,1,8038
0,1,2,0,0,5219
0,1,2,0,1,7031
0,2,0,0,0,2222
0,2,0,0,1,3607
0,2,1,0,0,14530
0,2,1,0,1,14530
0,2,1,1,0,13370
0,2,1,1,1,13370
0,2,2,0,0,1736
0,2,2,0,1,3121
1,0,0,0,0,7142
1,0,0,0,1,8066
1,0,1,0,0,13988
1,0,1,0,1,13988
1,0,1,1,0,13338
1,0,1,1,1,13338
1,0,2,0,0,6656
1,0,2,0,1,7580
1,1,0,0,0,14187
1,1,0,0,1,14457
1,1,1,0,0,14767
1,1,1,0,1,14767
1,1,1,1,0,14567
1,1,1,1,1,14567
1,1,2,0,0,8739
1,1,2,0,1,12798
1,2,0,0,0,6076
1,2,0,0,1,6901
1,2,1,0,0,13266
1,2,1,0,1,13266
1,2,1,1,0,12591
1,2,1,1,1,12591
1,2,2,0,0,5990
1,2,2,0,1,7094
2,0,0,0,0,2068
2,0,0,0,1,3483
2,0,1,0,0,14548
2,0,1,0,1,14548
2,0,1,1,0,13368
2,0,1,1,1,13368
2,0,2,0,0,1582
2,0,2,0,1,2997
2,1,0,0,0,5698
2,1,0,0,1,6519
2,1,1,0,0,12556
2,1,1,0,1,12556
2,1,1,1,0,11906
2,1,1,1,1,11906
2,1,2,0,0,5212
2,1,2,0,1,6033
2,2,0,0,0,1582
2,2,0,0,1,2997
2,2,1,0,0,14062
2,2,1,0,1,14062
2,2,1,1,0,12882
2,2,1,1,1,12882
2,2,2,0,0,1096
2,2,2,0,1,2511
