x1,x2,x3,x4,x5,profit
0,0,0,0,0,-13995
0,0,0,0,1,-14835
0,0,1,0,0,-1495
0,0,1,0,1,-1495
0,0,1,1,0,-3935
0,0,1,1,1,-3935
0,0,2,0,0,-20043
0,0,2,0,1,-14652
0,1,0,0,0,-10004
0,1,0,0,1,-10411
0,1,1,0,0,-1306
0,1,1,0,1,-1306
0,1,1,1,0,-2666
0,1,1,1,1,-2666
0,1,2,0,0,-10973
0,1,2,0,1,-9853
0,2,0,0,0,-14915
0,2,0,0,1,-16112
0,2,1,0,0,-2979
0,2,1,0,1,-5480
0,2,1,1,0,-9182
0,2,1,1,1,-10332
0,2,2,0,0,-21549
0,2,2,0,1,-25286
1,0,0,0,0,-20432
1,0,0,0,1,-22231
1,0,1,0,0,-10494
1,0,1,0,1,-10494
1,0,1,1,0,-12439
1,0,1,1,1,-12439
1,0,2,0,0,-22189
1,0,2,0,1,-21356
1,1,0,0,0,-8610
1,1,0,0,1,-9403
1,1,1,0,0,-4876
1,1,1,0,1,-4876
1,1,1,1,0,-5431
1,1,1,1,1,-5431
1,1,2,0,0,-17352
1,1,2,0,1,-12755
1,2,0,0,0,-22046
1,2,0,0,1,-24820
1,2,1,0,0,-13615
1,2,1,0,1,-14420
1,2,1,1,0,-14512
1,2,1,1,1,-15269
1,2,2,0,0,-25561
1,2,2,0,1,-29733
2,0,0,0,0,-28553
2,0,0,0,1,-31395
2,0,1,0,0,-17971
2,0,1,0,1,-19199
2,0,1,1,0,-23221
2,0,1,1,1,-23746
2,0,2,0,0,-31828
2,0,2,0,1,-40478
2,1,0,0,0,-32024
2,1,0,0,1,-34507
2,1,1,0,0,-25791
2,1,1,0,1,-26121
2,1,1,1,0,-26949
2,1,1,1,1,-27351
2,1,2,0,0,-35520
2,1,2,0,1,-41704
2,2,0,0,0,-41069
2,2,0,0,1,-44230
2,2,1,0,0,-36941
2,2,1,0,1,-37636
2,2,1,1,0,-42693
2,2,1,1,1,-43373
2,2,2,0,0,-41945
2,2,2,0,1,-47433
