x1,x2,x3,x4,x5,profit
0,0,0,0,0,4768.0
0,0,0,0,1,4044.800000000003
0,0,1,0,0,6288.0
0,0,1,0,1,6288.0
0,0,1,1,0,5564.800000000003
0,0,1,1,1,5564.800000000003
0,1,0,0,0,7552.0
0,1,0,0,1,7244.800000000003
0,1,1,0,0,7472.0
0,1,1,0,1,7472.0
0,1,1,1,0,7164.800000000003
0,1,1,1,1,7164.800000000003
1,0,0,0,0,-1340.0
1,0,0,0,1,-1855.199999999997
1,0,1,0,0,-620.0
1,0,1,0,1,-620.0
1,0,1,1,0,-1135.199999999997
1,0,1,1,1,-1135.199999999997
1,1,0,0,0,4304.0
1,1,0,0,1,4160.0
1,1,1,0,0,3504.0
1,1,1,0,1,3504.0
1,1,1,1,0,3360.0
1,1,1,1,1,3360.0
